source_title,n_runs,measure,mean,sd,cv,min,max,range
ENTITY_35_TMBA_seed1,5,n_nodes,186.2,5.805170109479997,0.031177068257142844,179,195,16
ENTITY_35_TMBA_seed1,5,n_edges,160,13.564659966250536,0.08477912478906585,146,178,32
ENTITY_35_TMBA_seed1,5,F_prop,0.33746792677273224,0.04132933590237409,0.12246893000355358,0.3128491620111732,0.41025641025641024,0.09740724824523705
ENTITY_35_TMBA_seed1,5,M_prop,0.12668935386536861,0.005561048959506045,0.04389515606351352,0.11827956989247312,0.13333333333333333,0.015053763440860207
ENTITY_35_TMBA_seed1,5,V_prop,0.383200295750556,0.04119067602524531,0.10749124278353468,0.3128205128205128,0.41935483870967744,0.10653432588916462
ENTITY_35_TMBA_seed1,5,P_prop,0.15264242361134314,0.007705503641580777,0.050480747483415654,0.14358974358974358,0.16042780748663102,0.01683806389688744
ENTITY_35_TMBA_seed1,5,S_prop,0.5590561287017026,0.05485158355664059,0.09811462703042458,0.4863013698630137,0.6348314606741573,0.1485300908111436
ENTITY_35_TMBA_seed1,5,W_prop,0.07819936756981004,0.019440767458062048,0.24860517498056375,0.0449438202247191,0.09411764705882353,0.04917382683410443
ENTITY_35_TMBA_seed1,5,J_prop,0.30550934402721197,0.036005794919944524,0.1178549711289271,0.2647058823529412,0.363013698630137,0.09830781627719581
ENTITY_35_TMBA_seed1,5,E_prop,0.05723515970127528,0.01669451054743675,0.2916827809089659,0.028089887640449437,0.0684931506849315,0.040403263044482066
ENTITY_35_TMBA_seed1,5,Ext_prop,0.06138732913966949,0.007607908656809819,0.12393288262306015,0.05128205128205128,0.07065217391304347,0.019370122630992193
ENTITY_35_TMBA_seed1,5,Q0_prop,0.9362887763191636,0.020630258988329757,0.022034076996451445,0.8994413407821229,0.946524064171123,0.0470827233890001
ENTITY_35_TMBA_seed1,5,Q1_prop,0.06371122368083641,0.02063025898832975,0.3238088643796539,0.053475935828877004,0.1005586592178771,0.047082723389000096
ENTITY_35_TMBA_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_35_TMBA_seed1,5,orphan_rate,0.12406656913982028,0.03742896222784562,0.3016845108827343,0.07262569832402235,0.17647058823529413,0.10384488991127178
ENTITY_35_TMBA_seed1,5,root_count,76,6.557438524302,0.08628208584607895,71,87,16
ENTITY_35_TMBA_seed1,5,leaf_count,38.2,2.7748873851023212,0.07264103102362097,34,41,7
ENTITY_35_TMBA_seed1,5,component_count,39.6,8.35463942968217,0.21097574317379214,29,49,20
ENTITY_35_E1_seed1,5,n_nodes,165.6,2.8809720581775866,0.01739717426435741,163,170,7
ENTITY_35_E1_seed1,5,n_edges,167,5.744562646538029,0.0343985787217846,159,174,15
ENTITY_35_E1_seed1,5,F_prop,0.34640679612863245,0.022403025471957966,0.06467259223066447,0.31901840490797545,0.37058823529411766,0.05156983038614221
ENTITY_35_E1_seed1,5,M_prop,0.13904510753866134,0.011770194604261222,0.08465018879566498,0.12352941176470589,0.15337423312883436,0.02984482136412847
ENTITY_35_E1_seed1,5,V_prop,0.40225473075291,0.01744532701797721,0.04336885481825003,0.3780487804878049,0.42073170731707316,0.042682926829268275
ENTITY_35_E1_seed1,5,P_prop,0.11229336557979622,0.0042540249124708536,0.03788313664397139,0.10975609756097561,0.11976047904191617,0.010004381480940558
ENTITY_35_E1_seed1,5,S_prop,0.7271174169399578,0.009430288175406004,0.012969415882090907,0.7126436781609196,0.7358490566037735,0.023205378442853974
ENTITY_35_E1_seed1,5,W_prop,0.046732445679923906,0.004961685944416965,0.10617218663025137,0.041176470588235294,0.05172413793103448,0.010547667342799188
ENTITY_35_E1_seed1,5,J_prop,0.15433362297106348,0.006769582160368492,0.04386330101016123,0.14465408805031446,0.16091954022988506,0.016265452179570594
ENTITY_35_E1_seed1,5,E_prop,0.0718165144090548,0.002169057993017809,0.030202774541009034,0.06918238993710692,0.07471264367816093,0.005530253741054009
ENTITY_35_E1_seed1,5,Ext_prop,0.060450148808543415,0.01165812026398715,0.19285511274605016,0.047058823529411764,0.07317073170731707,0.026111908177905305
ENTITY_35_E1_seed1,5,Q0_prop,0.926307081465134,0.013183042975277025,0.014231827910054937,0.9101796407185628,0.9390243902439024,0.028844749525339552
ENTITY_35_E1_seed1,5,Q1_prop,0.07369291853486608,0.013183042975277028,0.17889158466481117,0.06097560975609756,0.08982035928143713,0.028844749525339566
ENTITY_35_E1_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_35_E1_seed1,5,orphan_rate,0.045816775669598915,0.015542676728532826,0.3392354983820032,0.018292682926829267,0.054878048780487805,0.03658536585365854
ENTITY_35_E1_seed1,5,root_count,90.8,7.886697661252141,0.08685790375828349,79,99,20
ENTITY_35_E1_seed1,5,leaf_count,15.6,5.941380311005179,0.38085771224392173,11,26,15
ENTITY_35_E1_seed1,5,component_count,14.8,4.711687595755899,0.31835726998350666,7,19,12
ENTITY_35_E2_seed1,5,n_nodes,146.8,8.700574693662482,0.059268219984076845,138,158,20
ENTITY_35_E2_seed1,5,n_edges,154,4.527692569068709,0.02940060109784876,149,160,11
ENTITY_35_E2_seed1,5,F_prop,0.40233519217933555,0.014501338721415494,0.036042928889381654,0.379746835443038,0.41843971631205673,0.03869288086901873
ENTITY_35_E2_seed1,5,M_prop,0.26197500747085634,0.018226124743682483,0.06957199818272766,0.24113475177304963,0.2826086956521739,0.04147394387912426
ENTITY_35_E2_seed1,5,V_prop,0.2566004688956948,0.020257327619726626,0.07894501404033287,0.2318840579710145,0.2848101265822785,0.052926068611264004
ENTITY_35_E2_seed1,5,P_prop,0.07908933145411325,0.005247401647185477,0.06634778105603233,0.07142857142857142,0.0851063829787234,0.013677811550151978
ENTITY_35_E2_seed1,5,S_prop,0.7370885167729723,0.03964168524106143,0.05378144461484171,0.6845637583892618,0.7870967741935484,0.10253301580428664
ENTITY_35_E2_seed1,5,W_prop,0.033681746520780945,0.020085634949764137,0.5963359096409004,0.012903225806451613,0.057692307692307696,0.044789081885856084
ENTITY_35_E2_seed1,5,J_prop,0.11424316646404761,0.014317121037794053,0.1253214654401203,0.09333333333333334,0.12903225806451613,0.03569892473118279
ENTITY_35_E2_seed1,5,E_prop,0.11498657024219916,0.03753711873856608,0.32644785090555084,0.07096774193548387,0.16,0.08903225806451613
ENTITY_35_E2_seed1,5,Ext_prop,0.1452091677375346,0.08325278321774274,0.5733300762953345,0.09219858156028368,0.2911392405063291,0.19894065894604543
ENTITY_35_E2_seed1,5,Q0_prop,0.9059831646395893,0.006749796793751184,0.007450245277390262,0.8987341772151899,0.9155844155844156,0.016850238369225723
ENTITY_35_E2_seed1,5,Q1_prop,0.0940168353604108,0.0067497967937511765,0.07179349068574821,0.08441558441558442,0.10126582278481013,0.01685023836922571
ENTITY_35_E2_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_35_E2_seed1,5,orphan_rate,0.005412400844431665,0.0030481559524019805,0.5631800082837464,0,0.007246376811594203,0.007246376811594203
ENTITY_35_E2_seed1,5,root_count,69.8,5.718391382198319,0.0819253779684573,64,79,15
ENTITY_35_E2_seed1,5,leaf_count,20.6,6.268971207462991,0.30431899065354323,12,29,17
ENTITY_35_E2_seed1,5,component_count,8.6,3.9115214431215892,0.45482807478158016,5,15,10
ENTITY_35_E3_seed1,5,n_nodes,142.2,0.8366600265340756,0.005883685137370433,141,143,2
ENTITY_35_E3_seed1,5,n_edges,129.6,4.878524367060187,0.037642934931019965,124,135,11
ENTITY_35_E3_seed1,5,F_prop,0.4585239453384494,0.006672405342130113,0.014551923427259666,0.4507042253521127,0.46808510638297873,0.017380881030866047
ENTITY_35_E3_seed1,5,M_prop,0.18005906789245116,0.02052581222801582,0.11399488216986571,0.15384615384615385,0.20279720279720279,0.04895104895104893
ENTITY_35_E3_seed1,5,V_prop,0.3065552367919764,0.024252321144718855,0.07911240205358522,0.2765957446808511,0.3356643356643357,0.0590685909834846
ENTITY_35_E3_seed1,5,P_prop,0.054861749977123064,0.0033160721554789598,0.06044415566148978,0.04895104895104895,0.05673758865248227,0.007786539701433316
ENTITY_35_E3_seed1,5,S_prop,0.717613477399208,0.018917242549537402,0.02636132562350658,0.696,0.7419354838709677,0.0459354838709678
ENTITY_35_E3_seed1,5,W_prop,0.08656486155057676,0.018184288288083227,0.21006546954919805,0.06666666666666667,0.10687022900763359,0.04020356234096692
ENTITY_35_E3_seed1,5,J_prop,0.12805160574423005,0.006638643871916825,0.05184350351042716,0.12096774193548387,0.136,0.015032258064516135
ENTITY_35_E3_seed1,5,E_prop,0.06777005530598501,0.008242165011101251,0.121619570382339,0.06015037593984962,0.08148148148148149,0.021331105541631867
ENTITY_35_E3_seed1,5,Ext_prop,0.2700340115383568,0.012432967850490164,0.046042229197947274,0.2535211267605634,0.2867132867132867,0.033192159952723344
ENTITY_35_E3_seed1,5,Q0_prop,0.9183966867215293,0.008358113657336299,0.009100766344413648,0.9078014184397163,0.9300699300699301,0.022268511630213816
ENTITY_35_E3_seed1,5,Q1_prop,0.0816033132784706,0.008358113657336274,0.10242370464559794,0.06993006993006994,0.09219858156028368,0.022268511630213747
ENTITY_35_E3_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_35_E3_seed1,5,orphan_rate,0.03512304297440648,0.013961778729126443,0.3975105101030152,0.02112676056338028,0.04929577464788732,0.02816901408450704
ENTITY_35_E3_seed1,5,root_count,68,1.224744871391589,0.018010953991052778,66,69,3
ENTITY_35_E3_seed1,5,leaf_count,20,1.8708286933869707,0.09354143466934853,17,22,5
ENTITY_35_E3_seed1,5,component_count,17.6,4.560701700396552,0.25913077843162224,13,23,10
ENTITY_25_TMBA_seed1,5,n_nodes,177.4,7.635443667528429,0.04304083239869464,171,190,19
ENTITY_25_TMBA_seed1,5,n_edges,185.6,20.427922067601493,0.1100642352780253,164,210,46
ENTITY_25_TMBA_seed1,5,F_prop,0.37800676992550525,0.03816819136020829,0.10097224281917012,0.3368421052631579,0.43575418994413406,0.09891208468097618
ENTITY_25_TMBA_seed1,5,M_prop,0.13542193114354378,0.006634269819687081,0.04898962644872436,0.12631578947368421,0.14367816091954022,0.017362371445856006
ENTITY_25_TMBA_seed1,5,V_prop,0.25618570407610103,0.01402863791630967,0.05475964385640506,0.2471264367816092,0.2807017543859649,0.0335753176043557
ENTITY_25_TMBA_seed1,5,P_prop,0.23038559485484983,0.04127826909072812,0.1791703561880018,0.17318435754189945,0.2894736842105263,0.11628932666862687
ENTITY_25_TMBA_seed1,5,S_prop,0.6413403624142993,0.04376669879702298,0.06824254539705728,0.5914634146341463,0.6963350785340314,0.10487166389988511
ENTITY_25_TMBA_seed1,5,W_prop,0.08399683206732114,0.028025173320354285,0.3336455986565408,0.06282722513089005,0.12727272727272726,0.06444550214183721
ENTITY_25_TMBA_seed1,5,J_prop,0.1992678633388632,0.03345925405842916,0.1679109390636177,0.17073170731707318,0.2571428571428571,0.08641114982578393
ENTITY_25_TMBA_seed1,5,E_prop,0.07539494217951632,0.05231098654032511,0.6938262040943274,0.004761904761904762,0.1402439024390244,0.13548199767711963
ENTITY_25_TMBA_seed1,5,Ext_prop,0.011290070618989166,0.0004681382698821607,0.041464600681485775,0.010526315789473684,0.011695906432748537,0.0011695906432748534
ENTITY_25_TMBA_seed1,5,Q0_prop,0.9159672356563396,0.026684947228027195,0.02913308051778293,0.8770949720670391,0.9473684210526315,0.0702734489855924
ENTITY_25_TMBA_seed1,5,Q1_prop,0.08186281432895869,0.024169772402133704,0.2952472694746304,0.05263157894736842,0.11731843575418995,0.06468685680682153
ENTITY_25_TMBA_seed1,5,Q2_prop,0.0021699500147015585,0.0029735260157479296,1.3703200514307192,0,0.00558659217877095,0.00558659217877095
ENTITY_25_TMBA_seed1,5,orphan_rate,0.051169476229446106,0.028765332418284734,0.5621580390875951,0.028901734104046242,0.08947368421052632,0.060571950106480074
ENTITY_25_TMBA_seed1,5,root_count,77,5.744562646538029,0.07460470969529907,70,85,15
ENTITY_25_TMBA_seed1,5,leaf_count,43.8,4.266145801540309,0.09740058907626276,38,50,12
ENTITY_25_TMBA_seed1,5,component_count,19.4,6.06630035524124,0.3126958946000639,11,26,15
ENTITY_25_E1_seed1,5,n_nodes,204.4,5.549774770204643,0.027151539971646984,197,209,12
ENTITY_25_E1_seed1,5,n_edges,185,8.972179222463181,0.048498266067368546,173,193,20
ENTITY_25_E1_seed1,5,F_prop,0.37248332903310893,0.016460090049963662,0.044190138905520183,0.34517766497461927,0.3864734299516908,0.04129576497707155
ENTITY_25_E1_seed1,5,M_prop,0.18723569618052072,0.021019887672179206,0.11226431765400745,0.15942028985507245,0.20812182741116753,0.048701537556095076
ENTITY_25_E1_seed1,5,V_prop,0.3159664176525796,0.010509559684623268,0.03326163508990072,0.3,0.3253588516746411,0.025358851674641136
ENTITY_25_E1_seed1,5,P_prop,0.12431455713379072,0.004710619745063899,0.0378927444514338,0.11961722488038277,0.13043478260869565,0.010817557728312874
ENTITY_25_E1_seed1,5,S_prop,0.7360939350176767,0.03795827012686711,0.0515671551158149,0.6979166666666666,0.7772020725388601,0.07928540587219346
ENTITY_25_E1_seed1,5,W_prop,0.058175921535407196,0.026916637779967903,0.4626766034739273,0.028089887640449437,0.08854166666666667,0.060451779026217234
ENTITY_25_E1_seed1,5,J_prop,0.16053245896990692,0.014826716619368392,0.09235961820124973,0.14507772020725387,0.1791907514450867,0.034113031237832825
ENTITY_25_E1_seed1,5,E_prop,0.045197684477009004,0.028296272258369237,0.6260557943574052,0.010362694300518135,0.07936507936507936,0.06900238506456123
ENTITY_25_E1_seed1,5,Ext_prop,0.016658029023522872,0.002837118937765083,0.17031540368664116,0.014354066985645933,0.02030456852791878,0.005950501542272847
ENTITY_25_E1_seed1,5,Q0_prop,0.9320637289739265,0.021801924501908543,0.0233910234077121,0.9086294416243654,0.9565217391304348,0.04789229750606938
ENTITY_25_E1_seed1,5,Q1_prop,0.06793627102607344,0.021801924501908536,0.3209172975293436,0.043478260869565216,0.09137055837563451,0.0478922975060693
ENTITY_25_E1_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_25_E1_seed1,5,orphan_rate,0.09098861326386329,0.01523061492429577,0.16739034015308712,0.07,0.1065989847715736,0.0365989847715736
ENTITY_25_E1_seed1,5,root_count,84.8,2.16794833886788,0.025565428524385377,82,87,5
ENTITY_25_E1_seed1,5,leaf_count,43.8,3.1937438845342627,0.07291652704416125,40,48,8
ENTITY_25_E1_seed1,5,component_count,34.8,5.06951674225463,0.14567576845559282,27,40,13
ENTITY_25_E2_seed1,5,n_nodes,243.6,12.541929676090518,0.05148575400693973,226,257,31
ENTITY_25_E2_seed1,5,n_edges,237,8.18535277187245,0.034537353467816244,224,244,20
ENTITY_25_E2_seed1,5,F_prop,0.433086835224342,0.012556863231349741,0.028993869612418947,0.41150442477876104,0.4444444444444444,0.032940019665683384
ENTITY_25_E2_seed1,5,M_prop,0.25266652883742335,0.020301332228897847,0.08034832441918181,0.22178988326848248,0.2743362831858407,0.05254639991735821
ENTITY_25_E2_seed1,5,V_prop,0.2239617766876009,0.011068464534199265,0.04942122132580869,0.21052631578947367,0.24124513618677043,0.03071882039729676
ENTITY_25_E2_seed1,5,P_prop,0.09028485925063379,0.007125803152761991,0.07892578237266255,0.08333333333333333,0.10116731517509728,0.01783398184176395
ENTITY_25_E2_seed1,5,S_prop,0.6313719564006341,0.04580393732232235,0.07254667689620613,0.5850622406639004,0.7053571428571429,0.12029490219324246
ENTITY_25_E2_seed1,5,W_prop,0.09985976778109037,0.03326219210866049,0.33308901920918627,0.05357142857142857,0.14107883817427386,0.08750740960284528
ENTITY_25_E2_seed1,5,J_prop,0.20855554722630867,0.04509430429056023,0.21622203240476412,0.15163934426229508,0.2606837606837607,0.10904441642146562
ENTITY_25_E2_seed1,5,E_prop,0.06021272859196686,0.04545563596860073,0.75491739091633,0.008547008547008548,0.12704918032786885,0.11850217178086031
ENTITY_25_E2_seed1,5,Ext_prop,0.06307699639859368,0.06215388624467514,0.9853653438396898,0.02654867256637168,0.17372881355932204,0.14718014099295035
ENTITY_25_E2_seed1,5,Q0_prop,0.9143897679637701,0.008479125347743982,0.00927298800228913,0.9067796610169492,0.9246031746031746,0.01782351358622547
ENTITY_25_E2_seed1,5,Q1_prop,0.0856102320362299,0.008479125347743963,0.09904336369694257,0.07539682539682539,0.09322033898305085,0.017823513586225456
ENTITY_25_E2_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_25_E2_seed1,5,orphan_rate,0.02003127571538942,0.01653216895395387,0.8253178274238774,0.00423728813559322,0.042801556420233464,0.03856426828464024
ENTITY_25_E2_seed1,5,root_count,111,12.020815280171307,0.10829563315469647,95,124,29
ENTITY_25_E2_seed1,5,leaf_count,32.4,9.6591925128346,0.2981232257047716,24,48,24
ENTITY_25_E2_seed1,5,component_count,24,6.4031242374328485,0.2667968432263687,17,32,15
ENTITY_25_E3_seed1,5,n_nodes,207,3.24037034920393,0.015653963039632512,203,210,7
ENTITY_25_E3_seed1,5,n_edges,203.8,3.420526275297414,0.016783740310585937,200,209,9
ENTITY_25_E3_seed1,5,F_prop,0.4453816497725967,0.013251904119943439,0.029754041565721458,0.430622009569378,0.4666666666666667,0.03604465709728866
ENTITY_25_E3_seed1,5,M_prop,0.1614882448607227,0.014790894155644042,0.09159115060294705,0.14354066985645933,0.17733990147783252,0.03379923162137319
ENTITY_25_E3_seed1,5,V_prop,0.2607933996895244,0.023320245978882475,0.08942038413029364,0.23333333333333334,0.28708133971291866,0.05374800637958532
ENTITY_25_E3_seed1,5,P_prop,0.1323367056771562,0.005358905059520867,0.04049447227887217,0.12315270935960591,0.13725490196078433,0.014102192601178412
ENTITY_25_E3_seed1,5,S_prop,0.7053422904328411,0.03650751129627925,0.05175857422908246,0.6551724137931034,0.7376237623762376,0.08245134858313419
ENTITY_25_E3_seed1,5,W_prop,0.05981649087020541,0.0199649351325686,0.3337697488120811,0.045,0.09359605911330049,0.04859605911330049
ENTITY_25_E3_seed1,5,J_prop,0.16986764021514303,0.020591754213033008,0.12122234809969024,0.14146341463414633,0.19704433497536947,0.05558092034122314
ENTITY_25_E3_seed1,5,E_prop,0.06497357848181032,0.027459317751085743,0.4226228321220312,0.03349282296650718,0.095,0.06150717703349282
ENTITY_25_E3_seed1,5,Ext_prop,0.019327481528826677,0.00030424212869538836,0.01574142643683893,0.01904761904761905,0.019704433497536946,0.0006568144499178967
ENTITY_25_E3_seed1,5,Q0_prop,0.9449307206796265,0.005407932661947717,0.005723099634286572,0.937799043062201,0.9509803921568627,0.013181349094661732
ENTITY_25_E3_seed1,5,Q1_prop,0.05506927932037359,0.005407932661947736,0.09820235036101156,0.049019607843137254,0.06220095693779904,0.013181349094661787
ENTITY_25_E3_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_25_E3_seed1,5,orphan_rate,0.053024461393202715,0.019280325623661155,0.36361190886387257,0.024509803921568627,0.07177033492822966,0.04726053100666104
ENTITY_25_E3_seed1,5,root_count,97.4,4.33589667773576,0.044516392995233675,92,102,10
ENTITY_25_E3_seed1,5,leaf_count,41.8,5.357238094391549,0.12816359077491746,36,48,12
ENTITY_25_E3_seed1,5,component_count,26.6,3.5071355833500366,0.13184720238158032,22,31,9
ENTITY_05_TMBA_seed1,5,n_nodes,212.6,2.6076809620810595,0.012265667742620223,211,217,6
ENTITY_05_TMBA_seed1,5,n_edges,202,3.24037034920393,0.016041437372296685,199,206,7
ENTITY_05_TMBA_seed1,5,F_prop,0.37342491477427986,0.0063772473436394745,0.01707772323518976,0.36492890995260663,0.3824884792626728,0.017559569310066192
ENTITY_05_TMBA_seed1,5,M_prop,0.16917617410112204,0.029164647530282823,0.17239216860909845,0.13744075829383887,0.20657276995305165,0.06913201165921279
ENTITY_05_TMBA_seed1,5,V_prop,0.27120414993656583,0.036592180752822806,0.13492485554288772,0.2347417840375587,0.3080568720379147,0.07331508800035602
ENTITY_05_TMBA_seed1,5,P_prop,0.18619476118803222,0.007448389016097682,0.040003214744456686,0.18009478672985782,0.19815668202764977,0.018061895297791952
ENTITY_05_TMBA_seed1,5,S_prop,0.6100948431477777,0.022237416703255148,0.03644911435166611,0.5922330097087378,0.6482412060301508,0.05600819632141296
ENTITY_05_TMBA_seed1,5,W_prop,0.02943141947007117,0.022658216582256505,0.769864892357559,0.005,0.05365853658536585,0.048658536585365855
ENTITY_05_TMBA_seed1,5,J_prop,0.24857485509479674,0.012188453581402265,0.04903333274298426,0.23300970873786409,0.265,0.03199029126213593
ENTITY_05_TMBA_seed1,5,E_prop,0.11189888228735438,0.01948074880185394,0.17409243420169038,0.09045226130653267,0.135,0.04454773869346734
ENTITY_05_TMBA_seed1,5,Ext_prop,0,0,0,0,0,0
ENTITY_05_TMBA_seed1,5,Q0_prop,0.9454365903928899,0.006272161927385165,0.006634143411752952,0.9342723004694836,0.9493087557603687,0.015036455290885042
ENTITY_05_TMBA_seed1,5,Q1_prop,0.05362444247095988,0.004188204664992115,0.07810253071181528,0.05069124423963134,0.06103286384976526,0.010341619610133919
